City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,73.44,scattered clouds,-23.12,-134.97,Pension Maro'i
2,Lorengau,PG,81.46,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
6,Hambantota,LK,82.4,light rain,6.12,81.12,Bungalow 63
10,Castro,BR,71.11,overcast clouds,-24.79,-50.01,CHACARA BAILLY
12,Perdoes,BR,83.34,overcast clouds,-21.09,-45.09,Talismã Motel
15,Arraial Do Cabo,BR,77.0,overcast clouds,-22.97,-42.03,Pousada Porto Praia
16,Ribeira Grande,PT,75.2,scattered clouds,38.52,-28.7,Quinta da Meia Eira
17,Vaini,TO,73.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
18,Fethiye,TR,80.6,few clouds,36.62,29.12,Club & Hotel Letoonia
19,Cabo San Lucas,MX,75.99,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
24,Gat,IL,82.99,clear sky,31.61,34.76,OlusHome
28,Kapaa,US,72.0,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
29,Faya,SA,77.0,few clouds,18.39,42.45,مقبرة ال مجمل
32,Camacha,PT,71.6,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
33,Bambous Virieux,MU,78.01,scattered clouds,-20.34,57.76,Casa Tia Villa
35,Port Moresby,PG,78.8,few clouds,-9.44,147.18,Lamana Hotel
40,Coahuayana,MX,73.4,scattered clouds,18.73,-103.68,Hotel Los Arcos
41,Anito,PH,77.34,overcast clouds,12.45,125.29,The Yellow House
42,Port Alfred,ZA,71.08,clear sky,-33.59,26.89,The Halyards Hotel
44,Saint-Philippe,RE,78.8,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
46,Nador,MA,71.6,few clouds,35.17,-2.93,Airport hotel
50,Hilo,US,71.6,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
52,Auki,SB,77.88,few clouds,-8.77,160.7,Auki Motel
53,Vila Franca Do Campo,PT,73.4,scattered clouds,37.72,-25.43,Pestana Bahia Praia
54,Cockburn Town,TC,82.99,few clouds,21.46,-71.14,Osprey Beach Hotel
58,Mogadishu,SO,80.71,clear sky,2.04,45.34,Hotel Juba
59,Fare,PF,79.23,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
63,Erzin,TR,81.0,few clouds,36.96,36.2,Artemis Otel
64,Faanui,PF,78.66,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
66,Catuday,PH,80.26,scattered clouds,16.29,119.81,GResort
67,Georgetown,MY,84.2,light rain,5.41,100.34,Cititel Penang
68,Kupang,ID,80.22,overcast clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
69,Souillac,MU,77.0,scattered clouds,-20.52,57.52,Bils' Villa
70,Los Llanos De Aridane,ES,78.8,few clouds,28.66,-17.92,Valle Aridane
73,Touros,BR,86.0,broken clouds,-5.2,-35.46,INN NEW HORIZON
74,Kismayo,SO,80.87,clear sky,-0.36,42.55,Agan-Hotel
75,Jieshi,CN,78.01,overcast clouds,22.81,115.83,Yuehai Hotel
82,Gaya,IN,86.0,mist,24.78,85.0,Hotel Viraat Inn
83,Arona,ES,79.0,few clouds,28.1,-16.68,Paradise Court
