City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.12,-134.97,73.24,78,6,17.43,light rain
1,Avera,US,33.19,-82.53,69.8,56,1,9.17,clear sky
2,Thunder Bay,CA,48.4,-89.32,39.99,93,90,4.81,overcast clouds
3,Souillac,MU,-20.52,57.52,77.0,73,40,9.17,scattered clouds
4,Kapaa,US,22.08,-159.32,73.4,88,1,8.05,clear sky
5,Port Lavaca,US,28.61,-96.63,82.99,88,75,2.15,broken clouds
6,Husavik,IS,66.04,-17.34,51.8,62,20,14.99,few clouds
7,Castro,BR,-24.79,-50.01,84.9,37,28,5.3,scattered clouds
8,Alpena,US,45.06,-83.43,51.01,81,1,4.7,clear sky
9,Samarai,PG,-10.62,150.67,78.8,83,48,8.72,moderate rain
10,Ushuaia,AR,-54.8,-68.3,44.6,65,40,17.22,scattered clouds
11,Mar Del Plata,AR,-38.0,-57.56,64.99,63,38,16.11,scattered clouds
12,Geraldton,AU,-28.77,114.6,64.4,77,75,13.87,broken clouds
13,Busselton,AU,-33.65,115.33,57.99,67,0,12.91,clear sky
14,Atuona,PF,-9.8,-139.03,77.18,75,34,21.52,scattered clouds
15,Hilo,US,19.73,-155.09,68.0,68,1,6.93,clear sky
16,Bredasdorp,ZA,-34.53,20.04,68.0,49,0,13.87,clear sky
17,Hermanus,ZA,-34.42,19.23,77.0,49,0,7.0,clear sky
18,Lebu,CL,-37.62,-73.65,55.29,63,24,19.46,few clouds
19,Lac Du Bonnet,CA,50.25,-96.06,45.0,99,100,5.3,light rain
20,Taoudenni,ML,22.68,-3.98,105.01,10,6,8.08,clear sky
21,Ikalamavony,MG,-21.15,46.58,79.65,55,68,11.05,light rain
22,Carnarvon,AU,-24.87,113.63,69.8,73,0,19.46,clear sky
23,Kinwat,IN,19.63,78.2,76.71,89,100,4.83,moderate rain
24,Georgetown,MY,5.41,100.34,82.4,83,20,0.96,light rain
25,East London,ZA,-33.02,27.91,68.0,64,20,12.75,few clouds
26,Port Elizabeth,ZA,-33.92,25.57,66.2,52,0,13.87,clear sky
27,Manzil Salim,TN,35.86,8.48,69.8,21,8,19.46,clear sky
28,Qostanay,KZ,53.17,63.58,50.0,34,55,8.95,broken clouds
29,Cape Town,ZA,-33.93,18.42,75.99,43,16,11.41,few clouds
30,Avarua,CK,-21.21,-159.78,69.8,60,100,6.93,overcast clouds
31,Oyem,GA,1.6,11.58,76.86,79,93,2.91,light rain
32,Hobart,AU,-42.88,147.33,55.4,58,100,10.29,overcast clouds
33,Te Anau,NZ,-45.42,167.72,31.37,97,59,2.26,broken clouds
34,Gigmoto,PH,13.78,124.39,80.53,86,98,11.43,moderate rain
35,Barmer,IN,25.75,71.38,88.61,13,65,4.88,broken clouds
36,Coquimbo,CL,-29.95,-71.34,57.2,76,90,4.7,overcast clouds
37,Vaini,TO,-21.2,-175.2,69.8,83,40,6.93,scattered clouds
38,Leh,IN,34.17,77.58,44.4,41,0,4.14,clear sky
39,New Norfolk,AU,-42.78,147.06,55.4,58,100,10.29,overcast clouds
40,Bell Ville,AR,-32.63,-62.69,81.0,34,94,4.0,overcast clouds
41,Punta Arenas,CL,-53.15,-70.92,46.4,65,40,21.92,scattered clouds
42,Hermiston,US,45.84,-119.29,51.8,62,1,16.11,clear sky
43,Puerto Ayora,EC,-0.74,-90.35,69.58,86,100,8.25,overcast clouds
44,Upernavik,GL,72.79,-56.15,30.78,90,0,2.15,clear sky
45,Lata,PT,40.16,-8.33,63.0,74,0,5.99,clear sky
46,Axim,GH,4.87,-2.24,81.07,75,47,11.39,scattered clouds
47,Vila,PT,42.03,-8.16,59.0,71,87,3.0,overcast clouds
48,Nikolskoye,RU,59.7,30.79,50.0,66,75,11.18,broken clouds
49,Airai,TL,-8.93,125.41,62.22,83,93,1.99,overcast clouds
50,Pangai,TO,-19.8,-174.35,73.47,75,100,16.78,overcast clouds
51,Khatanga,RU,71.97,102.5,22.42,98,100,9.75,light snow
52,Jamestown,US,42.1,-79.24,55.99,76,1,4.7,clear sky
53,Hithadhoo,MV,-0.6,73.08,83.26,74,90,11.9,overcast clouds
54,Ayan,RU,56.45,138.17,30.56,82,97,8.41,overcast clouds
55,Lorengau,PG,-2.02,147.27,81.16,77,100,6.49,overcast clouds
